jumlah_semester,ipk,semester_tidak_aktif_berturut,jml_mk_wajib,jml_mk_pilihan_bebas_non_bidang,jml_mk_pilihan_bebas_prodi,jml_mk_pilihan_wajib_profil,status,total_mk_pilihan,total_mk,jumlah_sp,risiko
11,3.03,0,35,2,9,7,A,18,53,2,Rendah
11,2.93,0,36,0,11,6,A,17,53,2,Rendah
7,2.36,4,32,2,3,6,T,11,43,0,Tinggi
11,2.33,0,31,1,3,5,A,9,40,2,Tinggi
11,2.52,0,34,0,4,12,A,16,50,2,Sedang
11,2.07,0,35,0,8,11,A,19,54,2,Rendah
11,2.64,0,34,1,7,8,A,16,50,2,Sedang
11,2.96,0,35,2,5,9,A,16,51,2,Sedang
10,2.64,0,33,2,7,5,A,14,47,1,Sedang
11,2.54,0,36,2,7,12,A,21,57,2,Rendah
11,3.25,0,36,2,7,8,A,17,53,2,Rendah
11,2.55,0,35,1,7,7,A,15,50,2,Sedang
10,1.55,2,33,0,1,4,T,5,38,1,Sedang
11,3.18,0,36,1,9,6,A,16,52,2,Rendah
11,2.46,0,36,2,8,9,A,19,55,2,Rendah
11,3.38,0,36,0,7,10,A,17,53,2,Rendah
11,3.22,0,36,1,6,9,A,16,52,2,Rendah
9,3.1,2,36,1,7,8,T,16,52,1,Sedang
9,2.53,0,34,2,8,8,A,18,52,1,Rendah
9,3.36,0,36,1,7,9,A,17,53,1,Rendah
9,2.56,0,34,2,6,6,A,14,48,1,Sedang
9,3.45,0,36,1,4,12,A,17,53,1,Rendah
9,2.28,0,35,1,4,14,A,19,54,1,Rendah
9,3.31,0,36,2,5,9,A,16,52,1,Rendah
9,2.94,0,36,1,8,7,A,16,52,1,Rendah
9,3.41,0,36,1,8,9,A,18,54,1,Rendah
9,3.3,0,34,2,8,4,A,14,48,1,Sedang
9,3.47,0,35,0,7,7,A,14,49,1,Rendah
9,3.28,0,34,2,5,8,A,15,49,1,Sedang
9,3.13,0,36,2,10,6,A,18,54,1,Rendah
9,3.14,0,36,1,6,9,A,16,52,1,Rendah
9,3.43,0,36,2,6,8,A,16,52,1,Rendah
10,2.4,0,33,1,6,5,A,12,45,1,Sedang
8,2.85,0,33,0,6,6,A,12,45,0,Sedang
9,3.27,0,35,1,7,9,A,17,52,1,Rendah
9,2.83,0,35,2,8,9,A,19,54,1,Rendah
9,3.72,0,35,1,4,13,A,18,53,1,Rendah
10,3.37,0,36,0,5,8,A,13,49,1,Rendah
9,3.24,0,36,1,5,12,A,18,54,1,Rendah
9,2.22,0,33,2,5,4,A,11,44,1,Sedang
9,2.59,0,34,1,8,6,A,15,49,1,Sedang
9,3.45,0,36,1,6,8,A,15,51,1,Rendah
9,3.12,0,35,1,4,11,A,16,51,1,Rendah
9,2.66,0,35,0,7,7,A,14,49,1,Rendah
8,3.17,1,36,0,6,13,T,19,55,0,Rendah
9,2.48,0,34,2,7,4,A,13,47,1,Sedang
9,3.52,0,36,2,4,12,A,18,54,1,Rendah
10,1.81,0,31,1,1,4,A,6,37,1,Sedang
9,2.79,0,36,1,8,10,A,19,55,1,Rendah
9,3.11,0,36,2,11,8,A,21,57,1,Rendah
9,3.44,0,35,0,6,9,A,15,50,1,Rendah
9,2.82,0,36,1,7,9,A,17,53,1,Rendah
10,1.83,0,30,0,2,0,A,2,32,1,Sedang
9,3.5,0,36,2,8,7,A,17,53,1,Rendah
9,2.65,0,36,3,10,5,A,18,54,1,Rendah
